title,price,pages,reviews,value_per_page,link
EFFECTIVE EXECUTIVE,787.0,208,3369,0.26429479034307496,https://www.amazon.in/dp/0060833459/?coliid=I2FOPPSATDX0P3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Managing Up: How to Get What You Need from the People in Charge,711.0,320,30,0.450070323488045,https://www.amazon.in/dp/191170995X/?coliid=I2JMJLIOP0ETIF&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Personal MBA : Revised and 10 Anv Ed,469.0,496,7467,1.0575692963752665,https://www.amazon.in/dp/0670919535/?coliid=I2RTXTCIDUHXH3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
12 RULES FOR LIFE book Fresh New Edition,,,,,https://www.amazon.in/dp/B0F79P3FBV/?coliid=I16F88HONIBT78&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it
Quit: The Power of Knowing When to Walk Away,555.0,336,1177,0.6054054054054054,https://www.amazon.in/dp/152914616X/?coliid=I1NKKSBPSHS3AN&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Scarcity: The True Cost of Not Having En,617.89,304,1339,0.4919969573872372,https://www.amazon.in/dp/0141049197/?coliid=I7YTOEETTJ3EW&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Black Swan, The : The Impact of the High",489.0,480,7324,0.9815950920245399,https://www.amazon.in/dp/0141034599/?coliid=I32XCBVCI40LID&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Misbehaving,479.0,432,4530,0.9018789144050104,https://www.amazon.in/dp/0241951224/?coliid=I388DYP5DYKTKZ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
Nudge: The Final Edition,906.0,384,3885,0.423841059602649,https://www.amazon.in/dp/014313700X/?coliid=IKMCV9UYYCF73&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The 5 Types of Wealth : A Transformative Guide to Design Your Dream Life,363.0,384,1248,1.0578512396694215,https://www.amazon.in/dp/9365698154/?coliid=IBQIRR2QXY7C6&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
The Visual MBA: A Quick Guide to Everything You’ll Learn in Two Years of Business School,442.0,208,663,0.47058823529411764,https://www.amazon.in/dp/024173794X/?coliid=I3SAAEQU7TJGP7&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
CAPitalize Your Sales: The All-In-One Sales Framework that Saves You from Ever Struggling Again and Teaches You How to Sell with Sincerity,1219.0,215,5,0.1763740771123872,https://www.amazon.in/dp/1636984762/?coliid=I2K2FHRKULLY2G&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
"Skin in the Game: Hidden Asymmetries in Daily Life [Paperback] Taleb, Nassim Nicholas",418.0,304,6416,0.7272727272727273,https://www.amazon.in/dp/0141982659/?coliid=I1LS22155NBI5O&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it
