title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
How to Listen with Intention,Patrick King,1610.0,198,1941,4.5,Repro Books-On-Demand,8.131313131313131,https://www.amazon.in/dp/1647431743/?coliid=I3VUQ2F0KGMDT3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1647431743,Business Books,"Paperback

₹1,610.00",2025-09-22T12:17:48.542846
Negotiation Genius,"Deepak Malhotra, Max Bazerman",596.0,352,1154,4.6,Cocoblu Retail,1.6931818181818181,https://www.amazon.in/dp/0553384112/?coliid=I19L0OHLKOW5UW&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0553384112,Business Books,"Paperback

₹596.00",2025-09-22T12:17:49.628810
CRUCIAL CONVERSATIONS,"Joseph Grenny, Kerry Patterson, , , ",436.0,304,1886,4.6,Cocoblu Retail,1.4342105263157894,https://www.amazon.in/dp/9355323352/?coliid=I25IXH9D5XF16V&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9355323352,Business Books,"Paperback

₹436.00",2025-09-22T12:17:51.088537
YES! 10TH ANNIVERSARY EDITION,"Noah J. Goldstein, Steve Martin",391.0,288,126,4.5,Cocoblu Retail,1.3576388888888888,https://www.amazon.in/dp/1781257426/?coliid=I19GRCUBPZ64UM&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1781257426,Business Books,"Paperback

₹391.00",2025-09-22T12:17:51.261011
"Communication Skills: A Practical Guide to Improving Your Social Intelligence, Presentation, Persuasion and Public Speaking: 9 (Positive Psychology Coaching)",Ian Tuhovsky,982.0,158,1269,4.1,Best Price_,6.215189873417722,https://www.amazon.in/dp/1515031918/?coliid=IOO8T05DT17Z1&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1515031918,Business Books,"Paperback

₹982.00",2025-09-22T12:17:59.517046
VERBAL JUDO 2E PB,George J. Thompson PhD,973.0,224,4297,4.6,Repro Books-On-Demand,4.34375,https://www.amazon.in/dp/0062107704/?coliid=I2UX7882U2LCOA&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0062107704,Business Books,"Paperback

₹973.00",2025-09-22T12:18:00.243464
Pre-Suasion: A Revolutionary Way to Influence and Persuade,Robert Cialdini,458.0,432,3312,4.4,Cocoblu Retail,1.0601851851851851,https://www.amazon.in/dp/1847941435/?coliid=I2Y86JC0AOXYH5&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1847941435,Business Books,"Paperback

₹458.00",2025-09-22T12:18:00.928354
"WAY OF THE WOLF: Straight Line Selling - Master the Art of Persuasion, Influence, and Success",Jordan Belfort,359.0,256,8327,4.5,Cocoblu Retail,1.40234375,https://www.amazon.in/dp/1473674816/?coliid=I30H90W5WDXHIQ&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1473674816,Business Books,"Paperback

₹359.00",2025-09-22T12:18:01.970870
Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,1499.0,200,3779,4.6,Kinokuniya_Internationals,7.495,https://www.amazon.in/dp/1608322564/?coliid=I2O4WBSDCMV3AN&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1608322564,Business Books,"Hardcover

₹1,499.00",2025-09-22T12:18:06.732441
Peoplewatching: The Desmond Morris Guide to Body Language,Desmond Morris,793.0,544,379,4.5,Amazing_Buy,1.4577205882352942,https://www.amazon.in/dp/0099429780/?coliid=I3G1BEPQ34WUMS&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0099429780,Business Books,"Paperback

₹807.00",2025-09-22T12:18:11.587150
How To Sell Anything To Anybody,Joe Girard,280.0,192,1190,4.5,Cocoblu Retail,1.4583333333333333,https://www.amazon.in/dp/0743273966/?coliid=I11XN5B2SGJU2X&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0743273966,Business Books,"Paperback

₹280.00",2025-09-22T12:18:12.356884
Don't Sell Make them Buy : Upgrade Your Selling Skills,R. Mukund,197.0,184,444,4.3,Cocoblu Retail,1.0706521739130435,https://www.amazon.in/dp/9392834713/?coliid=I2UERGL9X6RBAK&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9392834713,Business Books,"Paperback

₹197.00",2025-09-22T12:18:13.434847
The Art Of Persuasion,Bob Burg,256.0,238,1146,4.6,Repro Books-On-Demand,1.0756302521008403,https://www.amazon.in/dp/9381860289/?coliid=I1ANYKZWX1QA49&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9381860289,Business Books,"Paperback

₹256.00",2025-09-22T12:18:17.925859
Influence is Your Superpower: How to Get What You Want Without Compromising Who You Are,Zoe Chance,467.0,304,522,4.6,Cocoblu Retail,1.5361842105263157,https://www.amazon.in/dp/1785042386/?coliid=I3MWYMCH84R99B&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1785042386,Business Books,"Paperback

₹467.00",2025-09-22T12:18:21.000507
Captivate: The Science of Succeeding with People,Vanessa Van Edwards,422.0,320,3402,4.4,Cocoblu Retail,1.31875,https://www.amazon.in/dp/024130993X/?coliid=I15GKED1M43KMA&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,024130993X,Business Books,"Paperback

₹422.00",2025-09-22T12:18:22.639885
Like Switch,"Jack Schafer, Marvin Karlins Ph.D.",1749.0,288,1677,4.5,INFINITE BOOKS,6.072916666666667,https://www.amazon.in/dp/1476754489/?coliid=I39BFIL6B00XFU&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1476754489,Business Books,"Paperback

₹1,641.00",2025-09-22T12:18:22.648862
Cues,Vanessa Van Edwards,608.0,320,1420,4.7,Cocoblu Retail,1.9,https://www.amazon.in/dp/0241554934/?coliid=I211EPKTQHT56A&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0241554934,Business Books,"Paperback

₹608.00",2025-09-22T12:18:28.177803
Presence: Unlock your inner confidence to embrace life's biggest challenges,Amy Cuddy,359.0,320,3737,4.4,Cocoblu Retail,1.121875,https://www.amazon.in/dp/1409156028/?coliid=I18AXWNE96VI9W&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1409156028,Business Books,"Paperback

₹359.00",2025-09-22T12:18:29.054251
What's in it for Them?: 9 Genius Networking Principles to Get What You Want by Helping Others Get What They Want,Joe Polish,1405.0,255,201,4.7,Cocoblu Retail,5.509803921568627,https://www.amazon.in/dp/1401975852/?coliid=I1VJ4NF5HYD6OD&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1401975852,Business Books,"Paperback

₹1,405.00",2025-09-22T12:18:32.034015
Never Eat Alone,"Keith Ferrazzi, Tahl Raz",572.0,400,1288,4.4,BookAdda,1.43,https://www.amazon.in/dp/0241004950/?coliid=I1Q0IJ7RMIH6U3&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241004950,Business Books,"Paperback

₹572.00",2025-09-22T12:18:33.959007
Behave: The bestselling exploration of why humans behave as they do,Robert M Sapolsky,498.0,800,8899,4.5,uRead-Store,0.6225,https://www.amazon.in/dp/009957506X/?coliid=I1R0C649BUYEG1&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,009957506X,Business Books,"Paperback

₹507.00",2025-09-22T12:18:38.804358
The Definitive Book of Body Language,"Allan Pease, Barbara",293.0,386,2997,4.4,Cocoblu Retail,0.7590673575129534,https://www.amazon.in/dp/8183220142/?coliid=I2XNKLUWD0KRRJ&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8183220142,Business Books,"Paperback

₹293.00",2025-09-22T12:18:40.104255
"The Coaching Habit: Say Less, Ask More & Change the Way You Lead Forever",Michael Bungay Stanier,295.0,244,385,4.5,Cocoblu Retail,1.209016393442623,https://www.amazon.in/dp/1989603610/?coliid=I2JJHKLKHHY4EE&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1989603610,Business Books,"Paperback

₹295.00",2025-09-22T12:18:42.524523
"Understanding Body Language:How to Decode Nonverbal Communication In Life, Love, and Work",Scott Rouse,210.0,160,1499,4.5,Repro Books-On-Demand,1.3125,https://www.amazon.in/dp/938999568X/?coliid=I31QE7APQYC1VJ&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,938999568X,Business Books,"Paperback

₹210.00",2025-09-22T12:18:43.126190
Exactly What to Say : The Magic Words for Influence and Impact,Phil M. Jones,226.0,148,6018,4.3,Cocoblu Retail,1.527027027027027,https://www.amazon.in/dp/198960367X/?coliid=I1YVLY6LLCHXTK&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,198960367X,Business Books,"Paperback

₹226.00",2025-09-22T12:18:49.804164
The First Minute: How to start conversations that get results (Business Communication Skills),Chris Fenning,147.0,128,118,4.5,Cocoblu Retail,1.1484375,https://www.amazon.in/dp/8119373510/?coliid=I2DV69X7SL6YNJ&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,8119373510,Business Books,"Paperback

₹147.00",2025-09-22T12:18:50.925526
"Think Faster, Talk Smarter",Matt Abrahams,499.0,352,947,4.5,Goodread Bookstore,1.4176136363636365,https://www.amazon.in/dp/1035024969/?coliid=I2Z5IQ7WTDPBE&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1035024969,Business Books,"Paperback

₹499.00",2025-09-22T12:18:51.367573
Listen Like You Mean It,Ximena Vengoechea,456.0,336,138,4.4,Cocoblu Retail,1.3571428571428572,https://www.amazon.in/dp/1529074010/?coliid=IWX2WL1SY2O61&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1529074010,Business Books,"Paperback

₹456.00",2025-09-22T12:18:53.539811
Rejection Proof: How to Beat Fear and Become Invincible,Jia Jiang,489.0,240,2062,4.6,Cocoblu Retail,2.0375,https://www.amazon.in/dp/1847941451/?coliid=I36ZDFSGPUP0TI&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1847941451,Business Books,"Paperback

₹489.00",2025-09-22T12:19:00.241620
MAKE YOURSELF UNFORGETTABLE,Dale Carnegie Training,248.0,240,661,4.4,uRead-Store,1.0333333333333334,https://www.amazon.in/dp/0857206796/?coliid=I3RDYXNLSEHY1W&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0857206796,Business Books,"Paperback

₹248.00",2025-09-22T12:19:01.899811
"THE FINE ART OF SMALL TALK: HOW TO START A CONVERSATION, KEEP IT GOING, BUILD NETWORKING SKILLS – AN",Debra Fine,425.0,272,512,4.2,Cocoblu Retail,1.5625,https://www.amazon.in/dp/0349436177/?coliid=I2AD3ZWRMOAHAH&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0349436177,Business Books,"Paperback

₹425.00",2025-09-22T12:19:02.940868
How to Instantly Connect With Anyone: 96 All-new Little Tricks for Big Success in Relationships,Leil Lowndes,1369.25,336,207,4.4,uRead-Store,4.075148809523809,https://www.amazon.in/dp/009193544X/?coliid=I1VA7JX46WENFX&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,009193544X,Business Books,"Paperback

₹1,369.25",2025-09-22T12:19:03.850844
Difficult Conversations : How to Discuss,"Douglas Stone, Bruce Patton, , ",,352,3854,4.6,,,https://www.amazon.in/dp/0143118447/?coliid=I1FTNJFSGGLY2G&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0143118447,Business Books,"Paperback

—",2025-09-22T12:19:11.465980
"Doesn't Hurt to Ask: Using the Power of Questions to Communicate, Connect, and Persuade",Trey Gowdy,1629.0,288,5068,4.8,Sunrise Book store,5.65625,https://www.amazon.in/dp/0593138910/?coliid=I1DP0A4AG1AVZ4&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0593138910,Business Books,"Hardcover

₹1,629.00",2025-09-22T12:19:12.123546
"WORDS THAT WORK: IT'S NOT WHAT YOU SAY, IT'S WHAT PEOPLE HEAR",Frank I. Luntz,1417.01,368,792,4.3,uRead-Store,3.850570652173913,https://www.amazon.in/dp/1401309291/?coliid=I3DGC4WX6TOT8U&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1401309291,Business Books,"Paperback

₹1,417.01",2025-09-22T12:19:13.002719
"The Only Negotiating Guide You'll Ever Need, Revised and Updated: 101 Ways to Win Every Time in Any Situation",Peter B. Stark,1450.0,304,137,4.6,Repro Books-On-Demand,4.769736842105263,https://www.amazon.in/dp/1524758906/?coliid=IV41QKW8ZA5P2&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1524758906,Business Books,"Paperback

₹1,450.00",2025-09-22T12:19:13.753560
How to Listen,Oscar Trimboli,324.0,288,215,4.5,Cocoblu Retail,1.125,https://www.amazon.in/dp/1774581914/?coliid=I1X01XR4QYNR69&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1774581914,Business Books,"Paperback

₹324.00",2025-09-22T12:19:18.743589
Sell or Be Sold: How to Get Your Way in Business and in Life,Grant Cardone,,200,3779,4.6,,,https://www.amazon.in/dp/B0B2N33XVP/?coliid=I3SX8WMKM3TSBL&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,B0B2N33XVP,Business Books,Unknown,2025-09-22T12:19:22.759730
Bargaining for Advantage: Negotiation Strategies for Reasonable People,G. Richard Shell,714.0,304,835,4.5,Cocoblu Retail,2.348684210526316,https://www.amazon.in/dp/0143036971/?coliid=I23XSGQRMQTX8O&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0143036971,Business Books,"Paperback

₹714.00",2025-09-22T12:19:23.013456
Art of Negotiation,Tim Castle,1275.0,294,343,4.5,Repro Books-On-Demand,4.336734693877551,https://www.amazon.in/dp/1912615126/?coliid=I30RDTMM499F1V&colid=1YZ6P9CMSTI9C&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1912615126,Business Books,"Paperback

₹1,275.00",2025-09-22T12:19:24.413679
Getting to Yes: Negotiating an agreement without giving in,"Roger Fisher, William Ury",395.0,240,10656,4.4,Cocoblu Retail,1.6458333333333333,https://www.amazon.in/dp/1847940935/?coliid=I1CBN7W9F953PF&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1847940935,Business Books,"Paperback

₹395.00",2025-09-22T12:19:28.590292
"Leadership and Management Strategy Collection - The Prince, The Art of War, and Arthashastra – English | Best Classic Books collection to Learn Economics/ Leadership / Political Management Strategy | Reference Guide for Philosophy/Financial/ Warfare Tactics",Various,379.0,784,162,4.4,Cocoblu Retail,0.48341836734693877,https://www.amazon.in/dp/9354409075/?coliid=I2V1J2AWYPY24K&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9354409075,Business Books,"Paperback

₹379.00",2025-09-22T12:19:32.166168
Negotiation: The Brian Tracy Success Library,Brian Tracy,185.0,112,369,4.4,Cocoblu Retail,1.6517857142857142,https://www.amazon.in/dp/9387383075/?coliid=I1BASCNXKU4F31&colid=1YZ6P9CMSTI9C&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,9387383075,Business Books,"Hardcover

₹185.00",2025-09-22T12:19:33.729941
