title,author,price,pages,reviews,avg_rating,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
Organized Mind,Daniel J Levitin,541.0,528,2295,4.3,1.0246212121212122,https://www.amazon.in/dp/0241965780/?coliid=IE8HNMYE9BQ2L&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0241965780,General Books,"Paperback

₹541.00",2025-07-21T20:28:22.721263
"HOW SUCCESSFUL PEOPLE THINK: Change Your Thinking, Change Your Life",John C. Maxwell,195.0,160,4041,4.5,1.21875,https://www.amazon.in/dp/9350098768/?coliid=I3PXJFXDZ5ET0R&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,9350098768,General Books,"Paperback

₹195.00",2025-07-21T20:28:23.912574
Outliers : The Story of Success (rejacke,Malcolm Gladwell,427.0,320,23238,4.4,1.334375,https://www.amazon.in/dp/0141036257/?coliid=I3DYB3SKGUH73U&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0141036257,General Books,"Paperback

₹435.00",2025-07-21T20:28:28.429750
The Power Of Now,,395.0,232,126,4.2,1.7025862068965518,https://www.amazon.in/dp/B0999QZS8D/?coliid=I1UQWNRTA6WIS0&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,B0999QZS8D,General Books,"Paperback

₹395.00",2025-07-21T20:28:30.940912
MINDSET (REVISED AND UPDATED),Carol Dweck,250.0,288,10804,4.5,0.8680555555555556,https://www.amazon.in/dp/1780332009/?coliid=I3AGS26DIFHEAC&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1780332009,General Books,"Paperback

₹250.00",2025-07-21T20:28:33.373476
101 Essays That Will Change The Way You Think,Brianna Wiest,,160,17419,4.3,,https://www.amazon.in/dp/1804221740/?coliid=IQEDIDAN6XRU0&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1804221740,General Books,"Paperback

—",2025-07-21T20:28:36.655941
Think Again: The Power of Knowing What You Don't Know,Adam Grant,589.0,320,16422,4.5,1.840625,https://www.amazon.in/dp/0753553899/?coliid=I1ZK5BD85VJMJY&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0753553899,General Books,"Paperback

₹589.00",2025-07-21T20:28:37.118941
The Secrets to Cold Call Success: Close More Business in Less Time Than Ever Before,Paul M Neuberger,1555.0,186,75,4.8,8.36021505376344,https://www.amazon.in/dp/1735039608/?coliid=I7KBZ57Z8HKSG&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1735039608,General Books,"Paperback

₹1,555.00",2025-07-21T20:28:38.398184
"Keep Calm I Have A Spreadsheet For That: Elegant Black Cover Funny Office Notebook 8,5 x 11"" Blank Lined Coworker Gag Gift Composition Book Journal",Adil Daisy,532.0,102,1,5.0,5.215686274509804,https://www.amazon.in/dp/1637606907/?coliid=IFYZDKQAJI18W&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1637606907,General Books,"Paperback

₹532.00",2025-07-21T20:28:44.468533
Everything You Need to Ace English Language Arts in One Big Fat Notebook,Jen Haberling,1899.0,488,10980,4.7,3.8913934426229506,https://www.amazon.in/dp/0761160914/?coliid=I2RL87XYYPP58Q&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0761160914,General Books,"Paperback

₹1,899.00",2025-07-21T20:28:45.441009
