title,author,price,pages,reviews,avg_rating,seller,value_per_page,link,asin,wishlist_name,format,scraped_timestamp
"Nudge: Improving Decisions About Health, Wealth and Happiness","Richard H. Thaler, Cass R Sunstein",404.0,384,4053,4.4,Cocoblu Retail,1.0520833333333333,https://www.amazon.in/dp/0141999934/?coliid=I8SZ0GX3UEW6D&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0141999934,General Books,"Paperback

₹404.00",2025-09-22T12:28:56.484599
Determined: Life Without Free Will,Robert M Sapolsky,586.0,528,1464,4.6,uRead-Store,1.1098484848484849,https://www.amazon.in/dp/1847925545/?coliid=I1AFAPGBRVY9W0&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,1847925545,General Books,"Paperback

₹585.89",2025-09-22T12:29:03.355862
Harper Collins India Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,253.0,304,10789,4.5,Cocoblu Retail,0.8322368421052632,https://www.amazon.in/dp/0007368542/?coliid=I28U9VNUY1T1UF&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0007368542,General Books,"Paperback

₹253.00",2025-09-22T12:29:05.039433
"Great Indian Novel, The (PB)",Shashi Tharoor,356.0,648,1025,4.4,Cocoblu Retail,0.5493827160493827,https://www.amazon.in/dp/0143420089/?coliid=I3675RKED2DYPU&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0143420089,General Books,"Paperback

₹356.00",2025-09-22T12:29:07.351473
"Guns, Germs And Steel",Jared Diamond,456.0,592,12835,4.5,Cocoblu Retail,0.7702702702702703,https://www.amazon.in/dp/0099302780/?coliid=I19MNFL4U23XLR&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0099302780,General Books,"Paperback

₹456.00",2025-09-22T12:29:07.666464
The Body: A Guide for Occupants - THE SUNDAY TIMES NO.1 BESTSELLER,Bill Bryson,412.0,544,20635,4.6,Cocoblu Retail,0.7573529411764706,https://www.amazon.in/dp/0552779903/?coliid=I33NPQ2AZVY9G2&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0552779903,General Books,"Paperback

₹412.00",2025-09-22T12:29:13.884585
Starting Strength: Basic Barbell Training,"Mark Rippetoe, Jason Kelly",5455.0,347,6355,4.8,Information publisher distributor,15.720461095100864,https://www.amazon.in/dp/0982522738/?coliid=I1X1RLCGBTZJHE&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0982522738,General Books,"Paperback

₹5,455.00",2025-09-22T12:29:15.818389
Bigger Leaner Stronger: The Simple Science of Building the Ultimate Male Body,Michael Matthews,,327,15574,4.5,,,https://www.amazon.in/dp/1938895274/?coliid=I2TJUZKE8IYSWW&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1938895274,General Books,"Paperback

from ₹3,581.33",2025-09-22T12:29:18.040096
The Way of Men,Jack Donovan,699.0,192,5603,4.4,Kinokuniya_Internationals,3.640625,https://www.amazon.in/dp/0985452307/?coliid=I2FTK6MKMQ7UVE&colid=1VY69P3F07HC8&psc=1&ref_=list_c_wl_lv_vv_lig_dp_it,0985452307,General Books,"Paperback

₹699.00",2025-09-22T12:29:18.404032
The Unusual Billionaires,Saurabh Mukherjea,233.0,454,2406,4.4,Cocoblu Retail,0.513215859030837,https://www.amazon.in/dp/0143426737/?coliid=I30O4BRIP64P2G&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0143426737,General Books,"Paperback

₹233.00",2025-09-22T12:29:24.532114
Discipline Equals Freedom : Field Manual Mk1-MOD1,Jocko Willink,417.0,256,8351,4.6,Cocoblu Retail,1.62890625,https://www.amazon.in/dp/1250280265/?coliid=IMTV13XMEONLM&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1250280265,General Books,"Paperback

₹417.00",2025-09-22T12:29:26.055597
Negotiation Genius,"Deepak Malhotra, Max Bazerman",596.0,352,1154,4.6,Cocoblu Retail,1.6931818181818181,https://www.amazon.in/dp/0553384112/?coliid=ITVFBMPOLQ25L&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,0553384112,General Books,"Paperback

₹596.00",2025-09-22T12:29:27.411600
Never Use Futura,"Douglas Thomas, Ellen Lupton",,208,47,3.9,,,https://www.amazon.in/dp/1616895721/?coliid=I3NPEUH4EHGW9R&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,1616895721,General Books,"Paperback

—",2025-09-22T12:29:31.304149
The History of Graphic Design. 40th Ed.,"Jens Mller, Julius Wiedemann",2248.0,511,814,4.8,Cocoblu Retail,4.3992172211350296,https://www.amazon.in/dp/3836588064/?coliid=I3F7LBISHMS54I&colid=1VY69P3F07HC8&psc=0&ref_=list_c_wl_lv_vv_lig_dp_it,3836588064,General Books,"Hardcover

₹2,248.00",2025-09-22T12:29:35.192162
